long,lat,q_ps_test_data,q_ps_predicted,residual
-128.6859,48.4332,531.15760845266,531.1536148011463,0.003993651513724217
-128.6836,48.4335,531.15760845266,531.1536148011463,0.003993651513724217
-128.71,48.46,615.10439485193,615.1051542517621,-0.0007593998320771789
-128.7317,48.49,615.10439485193,615.0657263661369,0.0386684857930959
-128.4167,48.4367,405.05822019202,405.66489393319387,-0.6066737411738927
-128.66,48.46,615.10439485193,615.1545246810057,-0.050129829075672205
-128.7,48.56,705.61038376803,705.4915029092232,0.11888085880684685
-128.77,48.39,649.51371744501,649.5556289554283,-0.04191151041834473
-127.583,47.8385,250.09188623759,249.627095327138,0.4647909104519954
-128.588,48.4533,508.22227635983,508.33812865619814,-0.1158522963681321
-128.827,47.8907,581.09921225716,581.1845925018995,-0.08538024473944006
-128.9666667,48.34166667,1319.1580046534,1220.1649053616648,98.99309929173523
-128.6255,47.9372,437.77934178494,437.79960484555863,-0.0202630606186176
-126.328,48.3186,185.04898643471,184.80476315657256,0.24422327813744005
-128.7096,48.4557,615.10439485193,615.1045832708113,-0.0001884188812937282
-127.755,47.7616,266.09179195412,266.13052544818845,-0.03873349406842408
-127.794,47.7077,262.38779189237,262.37765829993094,0.010133592439046879
-127.754,47.725,262.38779189237,262.38263610736965,0.005155785000340529
-128.626,47.9372,437.77934178494,437.79960484555863,-0.0202630606186176
-127.726,47.7755,257.67515241703,257.69917475807017,-0.02402234104016543
-127.774,47.733,262.38779189237,262.38263610736965,0.005155785000340529
-128.586,47.9127,437.77934178494,437.7745804761891,0.00476130875091485
-128.7067,48.44,531.15760845266,531.1622053456241,-0.004596892964059407
-129.15,48.0,891.98777747395,884.8597907090648,7.127986764885236
-127.793,47.7185,262.38779189237,262.38263610736965,0.005155785000340529
-128.57,48.47,508.22227635983,508.0808415039664,0.14143485586362203
-128.7616667,48.69666667,1251.9444508708,1247.458291499132,4.486159371668009
-127.6535,47.929,264.85829724021,264.9039205843517,-0.04562334414168845
-127.7891,47.7122,262.38779189237,262.38263610736965,0.005155785000340529
-128.64,48.4583,508.22227635983,508.1064901821436,0.11578617768640243
-127.7045,47.8953,264.85829724021,264.83393084347335,0.024366396736638762
-128.529,47.8867,397.83439275395,397.76083836537066,0.07355438857933905
-128.6158,47.9013,437.77934178494,437.7831852115631,-0.003843426623063806
-128.7122,48.4531,615.10439485193,615.1045832708113,-0.0001884188812937282
-128.7433,48.3717,531.15760845266,530.9706811561214,0.1869272965386699
-128.6867,48.4517,615.10439485193,615.1045832708113,-0.0001884188812937282
-128.7093,48.453,615.10439485193,615.1045832708113,-0.0001884188812937282
-128.709,48.4604,615.10439485193,615.1051542517621,-0.0007593998320771789
-128.645,48.4367,465.29943271476,465.37989587084655,-0.08046315608658006
-128.626,47.9487,437.77934178494,437.41848229032536,0.36085949461465816
-127.753,47.7613,266.09179195412,266.13052544818845,-0.03873349406842408
-127.4038,47.787,233.35611510341,233.24091225052675,0.11520285288324317
-128.605,47.9539,479.18126926088,479.17277123649757,0.008498024382447511
-128.63,48.45,508.22227635983,508.15805352579054,0.06422283403946949
-128.6363,47.8608,437.77934178494,437.77588746753185,0.003454317408170482
-127.684,47.8633,264.85829724021,264.8449276647626,0.013369575447370607
-128.6423,47.8708,437.77934178494,437.7490033120459,0.03033847289412961
-128.72,48.39,531.15760845266,531.1494976156275,0.008110837032518248
-126.4133,48.2437,189.21104853919,189.236878971453,-0.025830432263006742
-128.6848,48.4293,531.15760845266,531.1566858552917,0.0009225973683442135
-127.3025,47.7652,229.06340145183,229.05761684472535,0.005784607104658335
