lon,lat,grav,age,q,ps_q,stein_q,z_ps,z_stein,bathy
-133.0000031,47.43333428,-6.978014946,8.9937639,8,157.7574645,170.0589271,3549.636164,32124.04302,-3364
-133.0000031,47.55000095,-6.738731384,8.9937639,8,157.7574645,170.0589271,3549.636164,32124.04302,-3280
-133.0000031,47.66666762,-5.459806442,8.9937639,8,157.7574645,170.0589271,3549.636164,32124.04302,-3302
-133.0000031,47.78333429,-15.54036331,8.9937639,8,157.7574645,170.0589271,3549.636164,32124.04302,-3404
-133.0000031,47.90000096,-22.53513718,8.9937639,8,157.7574645,170.0589271,3549.636164,32124.04302,-3525
-133.0000031,48.01666763,-15.99628067,8.9937639,8,157.7574645,170.0589271,3549.636164,32124.04302,-3228
-133.0000031,48.1333343,8.634763718,8.9937639,8,157.7574645,170.0589271,3549.636164,32124.04302,-2705
-133.0000031,48.25000096,1.79898119,8.9937639,8,157.7574645,170.0589271,3549.636164,32124.04302,-3075
-133.0000031,48.36666763,-19.78790855,6.8122478,50,181.2656198,195.4001791,3413.50991,19538.45283,-3013
-133.0000031,48.4833343,2.691893339,6.8122478,50,181.2656198,195.4001791,3413.50991,19538.45283,-2792
-133.0000031,48.60000097,-1.940508962,6.8122478,50,181.2656198,195.4001791,3413.50991,19538.45283,-3040
-133.0000031,48.71666764,-21.41934013,6.8122478,50,181.2656198,195.4001791,3413.50991,19538.45283,-3422
-133.0000031,48.83333431,-9.821331024,7.3883481,29,174.0551927,187.6275042,3451.353059,22524.50599,-3230
-133.0000031,48.95000098,-2.412977934,7.3883481,29,174.0551927,187.6275042,3451.353059,22524.50599,-3096
-133.0000031,49.06666765,-12.28213978,7.3883481,29,174.0551927,187.6275042,3451.353059,22524.50599,-3262
-133.0000031,49.18333432,-10.49177265,7.3883481,29,174.0551927,187.6275042,3451.353059,22524.50599,-3313
-133.0000031,49.30000099,-5.21133709,7.3883481,29,174.0551927,187.6275042,3451.353059,22524.50599,-2970
-133.0000031,49.41666765,-17.08234978,7.3883481,29,174.0551927,187.6275042,3451.353059,22524.50599,-3411
-133.0000031,49.53333432,-13.56036186,7.3883481,29,174.0551927,187.6275042,3451.353059,22524.50599,-3266
-133.0000031,49.65000099,-14.09008408,7.3883481,29,174.0551927,187.6275042,3451.353059,22524.50599,-3247
-133.0000031,49.76666766,-14.01931286,7.3883481,29,174.0551927,187.6275042,3451.353059,22524.50599,-3269
-133.0000031,49.88333433,-9.56381321,7.3883481,29,174.0551927,187.6275042,3451.353059,22524.50599,-3251
-133.0000031,50.000001,-12.89914036,7.3883481,29,174.0551927,187.6275042,3451.353059,22524.50599,-3236
-133.0000031,50.11666767,-1.2063905,7.3883481,29,174.0551927,187.6275042,3451.353059,22524.50599,-3150
-133.0000031,50.23333434,-7.452043533,7.3883481,29,174.0551927,187.6275042,3451.353059,22524.50599,-3151
-133.0000031,50.35000101,-7.185700417,7.3883481,29,174.0551927,187.6275042,3451.353059,22524.50599,-3036
-133.0000031,50.46666768,-2.512699604,7.3883481,29,174.0551927,187.6275042,3451.353059,22524.50599,-3053
-133.0000031,50.58333434,0.293435872,7.3883481,29,174.0551927,187.6275042,3451.353059,22524.50599,-3082
-133.0000031,50.70000101,-3.355837345,7.3883481,29,174.0551927,187.6275042,3451.353059,22524.50599,-3063
-133.0000031,50.81666768,-4.444565773,7.3883481,29,174.0551927,187.6275042,3451.353059,22524.50599,-3062
-133.0000031,50.93333435,-4.180473328,7.3883481,29,174.0551927,187.6275042,3451.353059,22524.50599,-3043
-133.0000031,51.05000102,-3.017485857,7.3883481,29,174.0551927,187.6275042,3451.353059,22524.50599,-2992
-133.0000031,51.16666769,-3.135117769,7.3883481,29,174.0551927,187.6275042,3451.353059,22524.50599,-2989
-133.0000031,51.28333436,-3.315550566,6.5335484,270,185.0913413,199.5242191,3394.628235,18180.84796,-2961
-133.0000031,51.40000103,-7.168889999,6.5335484,270,185.0913413,199.5242191,3394.628235,18180.84796,-2931
-133.0000031,51.5166677,-3.982738733,6.5335484,270,185.0913413,199.5242191,3394.628235,18180.84796,-2869
-133.0000031,51.63333437,-1.558625698,6.5335484,270,185.0913413,199.5242191,3394.628235,18180.84796,-2837
-133.0000031,51.75000103,-1.410672069,6.5335484,270,185.0913413,199.5242191,3394.628235,18180.84796,-2784
-133.0000031,51.8666677,0.255571127,6.5335484,270,185.0913413,199.5242191,3394.628235,18180.84796,-2744
-133.0000031,51.98333437,-0.581888735,6.5335484,270,185.0913413,199.5242191,3394.628235,18180.84796,-2690
-133.0000031,52.10000104,-7.544260025,7.263514,69,175.5445173,189.2329619,3443.281753,21856.902,-2676
-133.0000031,52.21666771,-9.120904922,7.263514,69,175.5445173,189.2329619,3443.281753,21856.902,-2637
-133.0000031,52.33333438,-21.34122086,7.263514,69,175.5445173,189.2329619,3443.281753,21856.902,-2752
-133.0000031,52.45000105,-32.31854248,7.263514,69,175.5445173,189.2329619,3443.281753,21856.902,-2811
-133.0000031,52.56666772,-40.88366699,7.263514,69,175.5445173,189.2329619,3443.281753,21856.902,-2910
-133.0000031,52.68333439,-56.88114929,7.263514,69,175.5445173,189.2329619,3443.281753,21856.902,-2905
-133.0000031,52.80000106,-73.59225464,7.263514,69,175.5445173,189.2329619,3443.281753,21856.902,-2939
-133.0000031,52.91666772,-74.532341,7.263514,69,175.5445173,189.2329619,3443.281753,21856.902,-2470
-133.0000031,53.03333439,-54.91317749,7.263514,69,175.5445173,189.2329619,3443.281753,21856.902,-1210
-133.0000031,53.15000106,-50.70999146,9.16572,46,156.2706311,168.4561548,3559.622905,33263.80444,-877
-133.0000031,53.26666773,-17.25712013,9.16572,46,156.2706311,168.4561548,3559.622905,33263.80444,-340
-133.0000031,53.3833344,10.67172718,9.16572,46,156.2706311,168.4561548,3559.622905,33263.80444,-590
-133.0000031,53.50000107,55.61772919,9.16572,46,156.2706311,168.4561548,3559.622905,33263.80444,-120
-133.0000031,53.61666774,68.02363586,9.16572,46,156.2706311,168.4561548,3559.622905,33263.80444,-84
-133.0000031,53.73333441,67.5241394,9.16572,46,156.2706311,168.4561548,3559.622905,33263.80444,-1
-133.0000031,53.85000108,83.3082428,9.16572,46,156.2706311,168.4561548,3559.622905,33263.80444,72
-133.0000031,53.96666775,78.36128235,9.16572,46,156.2706311,168.4561548,3559.622905,33263.80444,395
-132.8833364,37.98333409,-24.67704391,33.939312,19,81.20993106,87.54244237,4539.010966,423035.0681,-4992
-132.8833364,38.10000076,-26.21652412,33.939312,19,81.20993106,87.54244237,4539.010966,423035.0681,-4989.999156
-132.8833364,38.21666743,-30.49439049,33.939312,19,81.20993106,87.54244237,4539.010966,423035.0681,-5039.498899
-132.8833364,38.3333341,-29.73254395,33.939312,19,81.20993106,87.54244237,4539.010966,423035.0681,-4872.008033
-132.8833364,38.45000077,-24.42358017,33.939312,19,81.20993106,87.54244237,4539.010966,423035.0681,-4818.50489
-132.8833364,38.56666744,-4.755752563,33.939312,19,81.20993106,87.54244237,4539.010966,423035.0681,-4428.489708
