long,lat,bathy
-127.2020833,45.01041667,-2878
-127.1979167,45.01041667,-2877
-127.19375,45.01041667,-2875
-127.1895833,45.01041667,-2870
-127.1854167,45.01041667,-2870
-127.18125,45.01041667,-2867
-127.1770833,45.01041667,-2866
-127.1729167,45.01041667,-2865
-127.16875,45.01041667,-2864
-127.1645833,45.01041667,-2863
-127.1604167,45.01041667,-2861
-127.15625,45.01041667,-2860
-127.1520833,45.01041667,-2858
-127.1479167,45.01041667,-2857
-127.14375,45.01041667,-2856
-127.1395833,45.01041667,-2855
-127.1354167,45.01041667,-2854
-127.13125,45.01041667,-2853
-127.1270833,45.01041667,-2853
-127.1229167,45.01041667,-2852
-127.11875,45.01041667,-2852
-127.1145833,45.01041667,-2851
-127.1104167,45.01041667,-2851
-127.10625,45.01041667,-2851
-127.1020833,45.01041667,-2851
-127.0979167,45.01041667,-2851
-127.09375,45.01041667,-2850
-127.0895833,45.01041667,-2850
-127.0854167,45.01041667,-2849
-127.08125,45.01041667,-2844
-127.0770833,45.01041667,-2846
-127.0729167,45.01041667,-2845
-127.06875,45.01041667,-2846
-127.0645833,45.01041667,-2847
-127.0604167,45.01041667,-2847
-127.05625,45.01041667,-2848
-127.0520833,45.01041667,-2848
-127.0479167,45.01041667,-2845
-127.04375,45.01041667,-2845
-127.0395833,45.01041667,-2846
-127.0354167,45.01041667,-2846
-127.03125,45.01041667,-2846
-127.0270833,45.01041667,-2845
-127.0229167,45.01041667,-2845
-127.01875,45.01041667,-2846
-127.0145833,45.01041667,-2846
-127.0104167,45.01041667,-2846
-127.00625,45.01041667,-2846
-127.0020833,45.01041667,-2847
-127.4979167,45.01458333,-2965
-127.49375,45.01458333,-2964
-127.4895833,45.01458333,-2966
-127.4854167,45.01458333,-2968
-127.48125,45.01458333,-2969
-127.4770833,45.01458333,-2967
-127.4729167,45.01458333,-2968
-127.46875,45.01458333,-2968
-127.4645833,45.01458333,-2969
-127.4604167,45.01458333,-2970
-127.45625,45.01458333,-2969
-127.4520833,45.01458333,-2970
-127.4479167,45.01458333,-2972
-127.44375,45.01458333,-2973
-127.4395833,45.01458333,-2973
-127.4354167,45.01458333,-2972
-127.43125,45.01458333,-2974
-127.4270833,45.01458333,-2974
-127.4229167,45.01458333,-2973
-127.41875,45.01458333,-2974
-127.4145833,45.01458333,-2974
-127.4104167,45.01458333,-2974
-127.40625,45.01458333,-2972
-127.4020833,45.01458333,-2970
-127.3979167,45.01458333,-2965
-127.39375,45.01458333,-2952
-127.3895833,45.01458333,-2948
-127.3854167,45.01458333,-2940
-127.38125,45.01458333,-2928
-127.3770833,45.01458333,-2913
-127.3729167,45.01458333,-2907
-127.36875,45.01458333,-2903
-127.3645833,45.01458333,-2901
-127.3604167,45.01458333,-2901
-127.35625,45.01458333,-2899
-127.3520833,45.01458333,-2899
-127.3479167,45.01458333,-2896
-127.34375,45.01458333,-2896
-127.3395833,45.01458333,-2896
-127.3354167,45.01458333,-2897
-127.33125,45.01458333,-2900
-127.3270833,45.01458333,-2910
-127.3229167,45.01458333,-2921
-127.31875,45.01458333,-2930
-127.3145833,45.01458333,-2979
-127.3104167,45.01458333,-3017
-127.30625,45.01458333,-3039
-127.3020833,45.01458333,-3054
-127.2979167,45.01458333,-3054
-127.29375,45.01458333,-3055
-127.2895833,45.01458333,-3055
-127.2854167,45.01458333,-3050
-127.28125,45.01458333,-2977
-127.2770833,45.01458333,-2919
-127.2729167,45.01458333,-2913
-127.26875,45.01458333,-2909
-127.2645833,45.01458333,-2906
-127.2604167,45.01458333,-2902
-127.25625,45.01458333,-2899
-127.2520833,45.01458333,-2899
-127.2479167,45.01458333,-2897
-127.24375,45.01458333,-2894
-127.2395833,45.01458333,-2892
-127.2354167,45.01458333,-2890
-127.23125,45.01458333,-2889
-127.2270833,45.01458333,-2890
-127.2229167,45.01458333,-2888
-127.21875,45.01458333,-2886
-127.2145833,45.01458333,-2885
-127.2104167,45.01458333,-2883
-127.20625,45.01458333,-2884
-127.2020833,45.01458333,-2881
-127.1979167,45.01458333,-2879
-127.19375,45.01458333,-2877
-127.1895833,45.01458333,-2867
-127.1854167,45.01458333,-2867
-127.18125,45.01458333,-2867
-127.1770833,45.01458333,-2866
-127.1729167,45.01458333,-2865
-127.16875,45.01458333,-2863
-127.1645833,45.01458333,-2862
-127.1604167,45.01458333,-2861
-127.15625,45.01458333,-2860
-127.1520833,45.01458333,-2858
-127.1479167,45.01458333,-2857
-127.14375,45.01458333,-2856
-127.1395833,45.01458333,-2855
-127.1354167,45.01458333,-2855
-127.13125,45.01458333,-2854
-127.1270833,45.01458333,-2853
-127.1229167,45.01458333,-2852
-127.11875,45.01458333,-2852
-127.1145833,45.01458333,-2851
-127.1104167,45.01458333,-2851
-127.10625,45.01458333,-2852
-127.1020833,45.01458333,-2852
-127.0979167,45.01458333,-2852
-127.09375,45.01458333,-2852
-127.0895833,45.01458333,-2851
-127.0854167,45.01458333,-2851
-127.08125,45.01458333,-2844
-127.0770833,45.01458333,-2845
-127.0729167,45.01458333,-2848
-127.06875,45.01458333,-2847
-127.0645833,45.01458333,-2844
-127.0604167,45.01458333,-2843
-127.05625,45.01458333,-2843
-127.0520833,45.01458333,-2843
-127.0479167,45.01458333,-2842
-127.04375,45.01458333,-2842
-127.0395833,45.01458333,-2843
-127.0354167,45.01458333,-2844
-127.03125,45.01458333,-2844
-127.0270833,45.01458333,-2844
-127.0229167,45.01458333,-2844
-127.01875,45.01458333,-2844
-127.0145833,45.01458333,-2845
-127.0104167,45.01458333,-2845
-127.00625,45.01458333,-2845
-127.0020833,45.01458333,-2845
-127.4979167,45.01875,-2968
-127.49375,45.01875,-2967
-127.4895833,45.01875,-2970
-127.4854167,45.01875,-2971
-127.48125,45.01875,-2971
-127.4770833,45.01875,-2972
-127.4729167,45.01875,-2970
-127.46875,45.01875,-2969
-127.4645833,45.01875,-2970
-127.4604167,45.01875,-2973
-127.45625,45.01875,-2973
-127.4520833,45.01875,-2973
-127.4479167,45.01875,-2974
-127.44375,45.01875,-2974
-127.4395833,45.01875,-2973
-127.4354167,45.01875,-2974
-127.43125,45.01875,-2975
-127.4270833,45.01875,-2973
-127.4229167,45.01875,-2974
-127.41875,45.01875,-2976
-127.4145833,45.01875,-2975
-127.4104167,45.01875,-2974
-127.40625,45.01875,-2969
-127.4020833,45.01875,-2957
-127.3979167,45.01875,-2947
-127.39375,45.01875,-2936
-127.3895833,45.01875,-2928
-127.3854167,45.01875,-2925
-127.38125,45.01875,-2914
-127.3770833,45.01875,-2906
-127.3729167,45.01875,-2902
-127.36875,45.01875,-2899
-127.3645833,45.01875,-2898
-127.3604167,45.01875,-2899
-127.35625,45.01875,-2898
-127.3520833,45.01875,-2898
-127.3479167,45.01875,-2897
-127.34375,45.01875,-2897
-127.3395833,45.01875,-2899
-127.3354167,45.01875,-2900
-127.33125,45.01875,-2901
-127.3270833,45.01875,-2910
-127.3229167,45.01875,-2925
-127.31875,45.01875,-2948
-127.3145833,45.01875,-3005
-127.3104167,45.01875,-3044
-127.30625,45.01875,-3050
-127.3020833,45.01875,-3055
-127.2979167,45.01875,-3054
-127.29375,45.01875,-3055
-127.2895833,45.01875,-3051
-127.2854167,45.01875,-3012
-127.28125,45.01875,-2926
-127.2770833,45.01875,-2921
-127.2729167,45.01875,-2915
-127.26875,45.01875,-2912
-127.2645833,45.01875,-2907
-127.2604167,45.01875,-2904
-127.25625,45.01875,-2902
-127.2520833,45.01875,-2900
-127.2479167,45.01875,-2898
-127.24375,45.01875,-2896
-127.2395833,45.01875,-2893
