lat,long,age,q_ihfc,q_ps,q_stein,FA,ps_z,stein_z,bathy
54.18,-126.27,4.2815824,66,228.6433137,246.4722461,-27.58060837,3224.219472,3355.25745,731
54.17,-126.28,4.2815824,119,228.6433137,246.4722461,-27.58060837,3224.219472,3355.25745,724
52.3,-120.57,8.9942894,46,157.7528559,170.0539591,83.27287292,3549.666829,3694.65255,1119
52.3,-120.57,8.9942894,61,157.7528559,170.0539591,83.27287292,3549.666829,3694.65255,1119
54.23,-126.23,4.2815824,83,228.6433137,246.4722461,-27.58060837,3224.219472,3355.25745,743
54.23,-126.24,4.2815824,79,228.6433137,246.4722461,-27.58060837,3224.219472,3355.25745,732
52.72,-131.72,5.7069907,60,198.0418965,213.4846205,86.93848419,3336.125804,3471.959767,-62
52.72,-131.71,5.7069907,48,198.0418965,213.4846205,86.93848419,3336.125804,3471.959767,-19
48.89,-123.87,8.9942894,20,157.7528559,170.0539591,54.14250183,3549.666829,3694.65255,804
48.89,-123.87,8.9942894,19,157.7528559,170.0539591,54.14250183,3549.666829,3694.65255,804
48.89,-123.85,8.9942894,25,157.7528559,170.0539591,54.14250183,3549.666829,3694.65255,943
48.88,-123.82,8.9942894,29,157.7528559,170.0539591,31.76561356,3549.666829,3694.65255,580
52.92,-123.62,7.2214351,74,176.0552185,189.7834861,-11.51878166,3440.54548,3580.854572,1088
52.92,-123.63,7.2214351,71,176.0552185,189.7834861,-11.51878166,3440.54548,3580.854572,1150
52.9,-123.62,7.2214351,56,176.0552185,189.7834861,-11.51878166,3440.54548,3580.854572,1030
49.05,-123.91,8.9942894,30,157.7528559,170.0539591,10.13718033,3549.666829,3694.65255,99
49.05,-124,8.9942894,20,157.7528559,170.0539591,44.08930206,3549.666829,3694.65255,318
49.59,-119.68,9.2849312,61,155.2641943,167.371239,-64.18450928,3566.491478,3712.198255,1367
51.73,-124.62,7.2214351,67,176.0552185,189.7834861,68.26803589,3440.54548,3580.854572,1927
51.73,-124.63,7.2214351,91.1,176.0552185,189.7834861,68.26803589,3440.54548,3580.854572,1876
51.45,-123.62,7.2806315,101.2,175.3380345,189.0103781,31.48008156,3444.392587,3584.866555,1470
51.45,-123.62,7.2806315,107.7,175.3380345,189.0103781,31.48008156,3444.392587,3584.866555,1470
50.62,-127.5,4.6360407,67.9,219.7288279,236.8626349,-7.656474113,3253.601344,3385.898545,121
49.77,-125.3,7.2806315,39.4,175.3380345,189.0103781,90.75709534,3444.392587,3584.866555,1308
54.02,-130.58,5.7069907,72.2,198.0418965,213.4846205,28.13957024,3336.125804,3471.959767,507
54.02,-130.58,5.7069907,132.8,198.0418965,213.4846205,28.13957024,3336.125804,3471.959767,507
54.02,-130.58,5.7069907,112.4,198.0418965,213.4846205,28.13957024,3336.125804,3471.959767,507
54.02,-130.58,5.7069907,78.1,198.0418965,213.4846205,28.13957024,3336.125804,3471.959767,507
54.02,-130.58,5.7069907,62.4,198.0418965,213.4846205,28.13957024,3336.125804,3471.959767,507
49.15,-124.65,8.1750021,47.9,165.4690306,178.3718184,120.534111,3500.71862,3643.606561,988
49.15,-124.67,7.9011574,54.4,168.3120859,181.4365668,37.62468338,3483.814912,3625.978408,782
49.15,-124.67,7.9011574,48.3,168.3120859,181.4365668,37.62468338,3483.814912,3625.978408,782
49.33,-121.97,9.2849312,143.4,155.2641943,167.371239,-39.17293549,3566.491478,3712.198255,179
49.33,-121.97,9.2849312,86.7,155.2641943,167.371239,-39.17293549,3566.491478,3712.198255,179
49.33,-121.97,9.2849312,132.4,155.2641943,167.371239,-39.17293549,3566.491478,3712.198255,179
